"filename", "language", "JavaScript", "Markdown", "JSON with Comments", "JSON", "HTML", "PHP", "JavaScript JSX", "PostCSS", "XML", "YAML", "comment", "blank", "total"
"c:\Users\scarl\Documents\GitHub\PhantomLog\docs\react\01_fundamentos_y_componentes.html", "HTML", 0, 0, 0, 0, 1463, 0, 0, 0, 0, 0, 0, 134, 1597
"c:\Users\scarl\Documents\GitHub\PhantomLog\docs\react\01_fundamentos_y_componentes.md", "Markdown", 0, 1010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 319, 1329
"c:\Users\scarl\Documents\GitHub\PhantomLog\docs\react\01_fundamentos_y_componentes_tmp.html", "HTML", 0, 0, 0, 0, 1463, 0, 0, 0, 0, 0, 0, 134, 1597
"c:\Users\scarl\Documents\GitHub\PhantomLog\docs\react\02_useEffect_useContext_router.md", "Markdown", 0, 361, 0, 0, 0, 0, 0, 0, 0, 0, 0, 115, 476
"c:\Users\scarl\Documents\GitHub\PhantomLog\docs\react\03_optimizacion_y_patrones.md", "Markdown", 0, 406, 0, 0, 0, 0, 0, 0, 0, 0, 0, 131, 537
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\.cursor\mcp.json", "JSON with Comments", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\.github\workflows\tests.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 23, 108
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\.junie\coding-standards.md", "Markdown", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 64
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\.junie\guidelines.md", "Markdown", 0, 263, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 352
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\.junie\mcp\mcp.json", "JSON with Comments", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\.mcp.json", "JSON", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\AGENTS.md", "Markdown", 0, 263, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 352
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\CLAUDE.md", "Markdown", 0, 263, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 352
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\README.md", "Markdown", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 17
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\app\Filament\Resources\Comments\CommentResource.php", "PHP", 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 16, 76
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\app\Filament\Resources\Comments\Pages\CreateComment.php", "PHP", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 5, 16
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\app\Filament\Resources\Comments\Pages\EditComment.php", "PHP", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\app\Filament\Resources\Comments\Pages\ListComments.php", "PHP", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\app\Filament\Resources\Comments\Pages\ViewComment.php", "PHP", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\app\Filament\Resources\Comments\Schemas\CommentForm.php", "PHP", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 5, 42
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\app\Filament\Resources\Comments\Schemas\CommentInfolist.php", "PHP", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 5, 29
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\app\Filament\Resources\Comments\Tables\CommentsTable.php", "PHP", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 1, 5, 57
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\app\Filament\Resources\Expeditions\ExpeditionResource.php", "PHP", 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 1, 15, 75
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\app\Filament\Resources\Expeditions\Pages\CreateExpedition.php", "PHP", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 5, 16
